200 581
74 153 0.0604603
74 163 0.369631
75 80 0.115666
75 92 0.0576198
75 166 0.0520006
76 127 0.0666664
76 130 0.0632915
76 163 0.0310063
77 94 0.0831728
77 154 0.0856856
78 96 0.0429077
78 180 0.0794687
78 190 0.0743585
78 195 0.0407842
78 198 0.0893339
79 161 0.0195666
79 167 0.0661837
79 179 0.0575554
80 92 0.103027
80 116 0.0290832
80 169 0.0978308
80 171 0.122532
81 106 0.137258
81 108 0.037705
81 168 0.0805748
81 170 0.0255086
82 101 0.06999
82 133 0.0680378
82 188 0.0991157
83 107 0.0034239
83 125 0.0955663
83 144 0.289532
84 86 0.0135604
84 122 0.111772
84 154 0.0809752
84 194 0.0616727
85 118 0.0483552
85 121 0.0986877
85 186 0.0715428
86 100 0.128749
86 122 0.116368
86 155 0.15932
86 164 0.112957
86 194 0.0644061
87 103 0.0676673
87 139 0.0611187
87 157 0.0297544
87 177 0.0296499
88 119 0.0115459
88 123 0.0668941
88 135 0.0221974
89 115 0.122876
89 165 0.0351721
89 190 0.122363
89 191 0.374784
90 117 0.0522237
90 146 0.0482804
90 156 0.0749515
90 187 0.0424757
91 112 0.0761789
91 131 0.0477263
91 138 0.026322
91 148 0.0813644
91 152 0.0575083
91 183 0.0752479
92 116 0.0950464
93 99 0.0690154
93 105 0.0034239
93 184 0.107481
94 154 0.0995715
95 98 0.0896207
95 99 0.0546138
95 134 0.0356182
96 190 0.0735702
96 195 0.00921956
97 102 0.0758004
97 114 0.037428
97 115 0.134898
98 134 0.0832242
98 141 0.0631693
98 151 0.0123395
98 160 0.0453678
98 189 0.045652
99 105 0.0704991
99 134 0.0449944
100 164 0.106871
100 194 0.0985849
101 133 0.0577453
102 111 0.0388233
102 114 0.0950464
102 115 0.147079
102 197 0.119356
103 139 0.0753019
104 111 0.137249
104 191 0.0290065
105 126 0.0954764
105 184 0.107729
106 167 0.0474946
106 168 0.134585
107 125 0.09354
108 143 0.146703
108 162 0.159587
108 168 0.098751
108 170 0.0439693
109 145 0.0392355
109 179 0.1085
109 188 0.0419955
110 124 0.0490509
110 168 0.129683
110 172 0.0281147
110 176 0.0993331
110 178 0.0632099
111 115 0.147254
112 138 0.086302
112 148 0.0148698
112 160 0.388581
113 137 0.0854849
113 143 0.150678
113 155 0.089218
113 193 0.0573371
114 197 0.123629
115 165 0.0900202
116 135 0.13542
116 152 0.141622
116 171 0.124529
117 156 0.0343034
118 186 0.0355949
119 123 0.0648991
119 135 0.0321663
119 171 0.108928
120 127 0.0490619
120 163 0.0285801
121 173 0.0167416
122 174 0.0256651
123 135 0.0854849
123 183 0.139884
124 140 0.108008
124 172 0.0259746
124 176 0.110335
124 192 0.0920195
125 136 0.101033
125 142 0.140916
125 144 0.200383
126 129 0.0420333
126 181 0.10699
126 184 0.115877
127 130 0.0712769
127 163 0.0576335
128 148 0.103544
128 183 0.110758
129 147 0.0905206
129 181 0.0878011
130 145 0.040263
131 138 0.0586124
131 152 0.0377441
131 158 0.146796
132 153 0.0320447
132 192 0.0546439
133 181 0.134409
133 185 0.10263
134 141 0.108222
135 152 0.133473
135 171 0.104487
135 183 0.130538
136 142 0.0629054
137 143 0.235547
137 155 0.0334739
138 150 0.173047
138 158 0.164476
138 160 0.474861
139 156 0.0643019
139 177 0.0719437
140 176 0.0318665
140 192 0.0932224
141 159 0.120714
141 189 0.0587117
142 144 0.100475
143 162 0.0611851
144 163 0.2067
145 185 0.16183
146 169 0.055847
146 171 0.00939
147 157 0.0580531
147 181 0.0506446
148 183 0.0672447
149 169 0.0632398
149 197 0.0866842
150 158 0.0124354
151 160 0.0348655
151 189 0.0430261
152 183 0.0623687
154 194 0.0232769
155 164 0.0679794
155 193 0.0742215
157 177 0.000869182
159 189 0.133258
159 199 0.0348199
160 175 0.216607
160 189 0.0683353
161 167 0.0798148
161 179 0.0676394
162 168 0.157101
164 193 0.0556798
166 191 0.155243
168 176 0.158467
168 178 0.132027
169 171 0.0580531
174 195 0.0874518
175 182 0.0845973
178 179 0.0750401
180 195 0.0799824
181 196 0.0746589
187 197 0.056827
190 191 0.496135
190 198 0.153118
0 1
